,order parameter model prediction with depth 6,order parameter model dft value with depth 6,strain model prediction with depth 6,strain model dft value with depth 6,structure metric model prediction with depth 6,order parameter model prediction with depth 10,order parameter model dft value with depth 10,strain model prediction with depth 10,strain model dft value with depth 10,structure metric model prediction with depth 10
47,-3325.0768589591075,-3305.5130060752813,-8904.02507271138,-8919.1583901596,-4576.7452065093,-3294.31091771296,-3305.5130060752813,-8917.617552527,-8919.1583901596,-4576.7452065093
48,1175.438312911864,1354.804055521569,-13199.43136896145,-13272.6970885249,7502.638426244,1140.983819516304,1354.804055521569,-13147.7274053316,-13272.6970885249,7502.638426244
49,-796.5183849496583,-988.3552633819239,-13182.509616305266,-13150.7163950243,23.6571243719,-961.8578666834607,-988.3552633819239,-13137.1841434131,-13150.7163950243,23.6571243719
50,6775.893446149292,6664.240244500805,14965.302054185877,14838.2983120029,-3411.342020823,7313.0095970860675,6664.240244500805,14990.07063151825,14838.2983120029,-3411.342020823
51,842.4551501086371,923.5988404113609,4366.3724326465135,4126.6229115296,-3239.7456952877,868.736423692225,923.5988404113609,4129.8397177412,4126.6229115296,-3239.7456952877
52,1069.2932488573322,815.6408134494759,-10395.885322592661,-10260.7949327187,4675.332760724,922.980977882404,815.6408134494759,-10383.2623201104,-10260.7949327187,4675.332760724
53,-57.9440425235441,-188.362257087169,14965.302054185877,14403.735362207,-7023.6678912703,-164.02514027290002,-188.362257087169,14839.4623755982,14403.735362207,-7023.6678912703
54,1175.438312911864,1336.1302162032248,-8904.02507271138,-9075.473764009,-164.0251402729,1137.475115925625,1336.1302162032248,-9072.0239644919,-9075.473764009,-164.0251402729
55,-57.9440425235441,-192.16255727744098,14965.302054185877,14839.802491538,1062.6572472838,-188.40554668809997,-192.16255727744098,14404.319363856,14839.802491538,1062.6572472838
56,1069.2932488573322,922.895914156804,-11352.563423257614,-11383.4843775886,-11255.7583865993,867.9698475235841,922.895914156804,-11395.7234795685,-11383.4843775886,-11255.7583865993
57,-57.9440425235441,-192.15390731768102,-13068.6986507904,-13137.2272396495,23.8571191406,-164.02514027290002,-192.15390731768102,-13151.4097387232,-13137.2272396495,23.8571191406
58,-7326.0828223808085,-7298.4602034126765,-11044.488452199066,-10965.8174274044,6664.815455699,-7285.313680694401,-7298.4602034126765,-11025.5766675405,-10965.8174274044,6664.815455699
59,922.6312781885049,1056.3120759120247,2545.770547279595,2593.3029688173,-3229.1400642235,1057.931178429316,1056.3120759120247,2574.3280019629,2593.3029688173,-3229.1400642235
60,1175.438312911864,1140.9501088702089,4267.281863645915,4831.3483014258,-3431.9465648211,1354.8894506453287,1140.9501088702089,4832.065927642,4831.3483014258,-3431.9465648211
61,-4596.570707546058,-4576.5614664829445,-8047.336544931688,-8388.7649192204,-11400.2187700452,-4580.955865852082,-4576.5614664829445,-8315.3724421049,-8388.7649192204,-11400.2187700452
